date,time,currency,impact,event,actual,forecast,previous
Thu Oct 2,12:15am,USD,Low Impact Expected,FOMC Member Barkin Speaks,,,
Thu Oct 2,1:30am,CAD,Low Impact Expected,BOC Summary of Deliberations,,,
Thu Oct 2,2:05am,CAD,Low Impact Expected,Gov Council Member Rogers Speaks,,,
Thu Oct 2,5:00am,USD,Low Impact Expected,FOMC Member Goolsbee Speaks,,,
Thu Oct 2,7:50am,JPY,Low Impact Expected,Monetary Base y/y,-6.2%,-3.8%,-4.1%
Thu Oct 2,All Day,CNY,Non-Economic,Bank Holiday,,,
Thu Oct 2,9:30am,AUD,Low Impact Expected,Goods Trade Balance,1.83B,6.13B,6.61B
Thu Oct 2,,AUD,Low Impact Expected,Household Spending m/m,0.1%,0.3%,0.4%
Thu Oct 2,,AUD,Low Impact Expected,RBA Financial Stability Review,,,
Thu Oct 2,11:35am,JPY,Low Impact Expected,10-y Bond Auction,1.64|3.3,,1.61|3.9
Thu Oct 2,1:00pm,JPY,Low Impact Expected,Consumer Confidence,35.3,35.1,34.9
Thu Oct 2,2:30pm,CHF,High Impact Expected,CPI m/m,-0.2%,-0.2%,-0.1%
Thu Oct 2,2:45pm,EUR,Low Impact Expected,French Gov Budget Balance,-157.5B,,-142.0B
Thu Oct 2,3:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,-4.8K,15.4K,21.9K
Thu Oct 2,4:00pm,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,6.0%,6.0%,5.9%
Thu Oct 2,4:55pm,EUR,Low Impact Expected,French 10-y Bond Auction,3.51|2.5,,3.57|2.2
Thu Oct 2,5:00pm,EUR,Low Impact Expected,Unemployment Rate,6.3%,6.2%,6.2%
Thu Oct 2,6:10pm,USD,Low Impact Expected,Challenger Job Cuts y/y,-25.8%,,13.3%
Thu Oct 2,10:30pm,USD,Low Impact Expected,FOMC Member Logan Speaks,,,
Thu Oct 2,,USD,Low Impact Expected,Natural Gas Storage,53B,66B,75B
